sample,fastq_1,fastq_2,strandedness
ADAR1-KO+ZBP1-KO_IFNb-24h_Z22_2,fq.gz/2213082_JCC391_D3_EV-8_S20_L001_R1_001.fastq.gz,fq.gz/2213082_JCC391_D3_EV-8_S20_L001_R2_001.fastq.gz,reverse
ADAR1-KO+ZBP1-KO_IFNb-24h_Z22_2,fq.gz/2213082_JCC391_D3_EV-8_S20_L002_R1_001.fastq.gz,fq.gz/2213082_JCC391_D3_EV-8_S20_L002_R2_001.fastq.gz,reverse
ADAR1-KO+ZBP1-KO_IFNb-48h_IgG_1,fq.gz/2213083_JCC391_E3_EV-9_S21_L001_R1_001.fastq.gz,fq.gz/2213083_JCC391_E3_EV-9_S21_L001_R2_001.fastq.gz,reverse
ADAR1-KO+ZBP1-KO_IFNb-48h_IgG_1,fq.gz/2213083_JCC391_E3_EV-9_S21_L002_R1_001.fastq.gz,fq.gz/2213083_JCC391_E3_EV-9_S21_L002_R2_001.fastq.gz,reverse
ADAR1-KO+ZBP1-KO_IFNb-48h_Z22_1,fq.gz/2213084_JCC391_F3_EV-10_S22_L001_R1_001.fastq.gz,fq.gz/2213084_JCC391_F3_EV-10_S22_L001_R2_001.fastq.gz,reverse
ADAR1-KO+ZBP1-KO_IFNb-48h_Z22_1,fq.gz/2213084_JCC391_F3_EV-10_S22_L002_R1_001.fastq.gz,fq.gz/2213084_JCC391_F3_EV-10_S22_L002_R2_001.fastq.gz,reverse
ADAR1-KO+ZBP1-KO_IFNb-48h_IgG_2,fq.gz/2213085_JCC391_G3_EV-11_S23_L001_R1_001.fastq.gz,fq.gz/2213085_JCC391_G3_EV-11_S23_L001_R2_001.fastq.gz,reverse
ADAR1-KO+ZBP1-KO_IFNb-48h_IgG_2,fq.gz/2213085_JCC391_G3_EV-11_S23_L002_R1_001.fastq.gz,fq.gz/2213085_JCC391_G3_EV-11_S23_L002_R2_001.fastq.gz,reverse
ADAR1-KO+ZBP1-KO_IFNb-48h_Z22_2,fq.gz/2213086_JCC391_H3_EV-12_S24_L001_R1_001.fastq.gz,fq.gz/2213086_JCC391_H3_EV-12_S24_L001_R2_001.fastq.gz,reverse
ADAR1-KO+ZBP1-KO_IFNb-48h_Z22_2,fq.gz/2213086_JCC391_H3_EV-12_S24_L002_R1_001.fastq.gz,fq.gz/2213086_JCC391_H3_EV-12_S24_L002_R2_001.fastq.gz,reverse
ADAR1-WT+FLAG-ZBP1_IFNb-0h_Z22_1,fq.gz/RIP_B9_1.fq.gz,fq.gz/RIP_B9_2.fq.gz,unstranded
ADAR1-WT+FLAG-ZBP1_IFNb-0h_Z22_2,fq.gz/RIP_B10_1.fq.gz,fq.gz/RIP_B10_2.fq.gz,unstranded
ADAR1-WT+FLAG-ZBP1_IFNb-72h_Z22_1,fq.gz/RIP_B11_1.fq.gz,fq.gz/RIP_B11_2.fq.gz,unstranded
ADAR1-WT+FLAG-ZBP1_IFNb-72h_Z22_2,fq.gz/RIP_B12_1.fq.gz,fq.gz/RIP_B12_2.fq.gz,unstranded
ADAR1-KO+FLAG-ZBP1_IFNb-0h_Z22_1,fq.gz/RIP_A9_1.fq.gz,fq.gz/RIP_A9_2.fq.gz,unstranded
ADAR1-KO+FLAG-ZBP1_IFNb-0h_Z22_2,fq.gz/RIP_A10_1.fq.gz,fq.gz/RIP_A10_2.fq.gz,unstranded
ADAR1-KO+FLAG-ZBP1_IFNb-72h_Z22_1,fq.gz/RIP_A11_1.fq.gz,fq.gz/RIP_A11_2.fq.gz,unstranded
ADAR1-KO+FLAG-ZBP1_IFNb-72h_Z22_2,fq.gz/RIP_A12_1.fq.gz,fq.gz/RIP_A12_2.fq.gz,unstranded
